shortname,visible
ACM30410 - ACM40412 AnCare 2015,0
ACM30410 ACM40412 CliServ 2015,0
ACM30410 - ACM40412 CompAnElecCL 2015,0
ACM30410 ACM40412 WrkSklCL 2015,0
ACM30410 ACM40412 WrkSklCL July 2015,0
ACM30410 ACM40412 WrkSklM1 2015,0
ACM30410 AnCareCL 2015,0
ACM30410 CL1 2015,0
ACM30410 LM2 2015,0
ACM30612 AnimalHlthCL LM2 2015,0
ACM30612 CustServ 2015,0
ACM30612 Groom 2015,0
ACM30612 WrkEffCL LM1 2015,0
ACM40110 2015,0
ACM40412 AnHlthCareCL 2015,0
ACM40412 CSULM3 2015,0
ACM40412 CSULM4 2015,0
ACM40412 DianticProcAssCL 2015a (Open until March 2016),0
ACM40412 InPatNurCareCL 2015,0
ACM40412 VetRecOffDtyCL 2015,0
ACM40412 VetSurNurCL 2015 (Open until March 2016),0
ACM40412 WrkVetIndCL 2015,0
ACM40612 - Animal Health 2015,0
ACM40612 CustServ 2015,0
ACM40612 - Grooming 2015,0
ACM40612 WrkGrmIndiCL 2015,0
ACMMIC401A 2015,0
AHC30110 - ACM40412 T1 NCEE 2015 (closing October 16),0
AHC30110 - ACM40412 T2 NCEE 2015 (closing October 16),0
AHCBUS506A NCDEA 2015 (PP),0
AHCLSK504A NCDEA 2015 (PP),0
BSBOHS201A (EP) 2015,0
CPC30211 CPC30211 CrpJnr AdvRfs s13 2015,0
CPC30211 CPC30211 CrpJnr EavClad s9 2015,0
CPC30211 CPC30211 CrpJnr ExcConc s5 2015,0
CPC30211 CPC30211 CrpJnr LngPanlg s11 2015,0
CPC30211 CPC30211 CrpJnr Roof s7 2015,0
CPC30211 CPC30211 CrpJnrs3 2015,0
CPC30211  CPC30211 CrpJnr SetOut s4 2015,0
CPC30211 CPC30211 CrpJnr WindDrs s12 2015,0
CPC30211 CrpJnr WetArea s14 2015,0
CPC32011 CPC30211 CrpJnr DemWllFrm s6 2015,0
CPPDSM4080A 2015 (Open until March 2016),0
CUA20213 2015,0
CUA40113 2015,0
CUA40313 (KS) 2015,0
CUA50113 (KS) 2015,0
SIS30213 Coach (Sport) 2015,0
SIS30213 RecMngCL (Sport) 2015,0
SIS30213 SptLaw CL 2015,0
SIS30213 WkSprtIndCL (Sport) 2015,0
SIS40310 GdGrp CL (SE) 2015,0
SIS40310 SafeRisk CL 2015,0
SIS40310 WrkplSk CL 2015,0
SIS50310 ProMan CL 2015,0
SIS50310 SafeComp CL 2015,0
TAEDES503A eLearning resources (CN) 2015,0
Technology ResLib (ID15),0