shortname,fullname,OLD NAME
"BSBWRK510: (NCDE, 2017)","BSBWRK510: Manage Employee Relations (Dairy, 2017)"," BSBWRK510: Manage Employee Relations (NCDE, 2017)"
"CPCCOHS2001A: (Plumbing, ID17)","CPCCOHS2001A: Apply OHS requirements, policies and procedures in the construction industry (Plumb, ID17)"," CPCCOHS2001A: Apply OHS requirements, policies and procedures in the construction industry (Plumbing, ID17)"
"10229NAT: (Performance Horse, #6286 2017)","10229NAT: Certificate III in Horse Industry Practice Course Home (NCEE, #6286 2017)","10229NAT: Certificate III in Horse Industry Practice Course Home (Performance Horse, #6286 2017)"
"22237VIC: (FirsTEP, #6232 2017)","22237VIC: Certificate II in General Education for Adults Home (LSU-FirsTEP, #6232 2017)","22237VIC: Certificate II in General Education for Adults Home (FirsTEP, #6232 2017)"
"22304VIC: (Plumbing, ID17)","22304VIC: Certificate II in Plumbing Pre-apprenticeship Course Home (Plumb, ID17)","22304VIC: Certificate II in Plumbing Pre-apprenticeship Course Home (Plumbing, ID17)"
ABC123: (ID17),"ABC123: GBIRD - Sandpit (Sandpit, ID17)",ABC123: GBIRD - Sandpit (ID17)
"ACM10110: (Tasmania Schools, ID17)","ACM10110: Certificate 1 in Animal Studies Course Home (AnSci-Tas-Schools, ID17)","ACM10110: Certificate 1 in Animal Studies Course Home (Tasmania Schools, ID17)"
"ACM10110|ACM20110: (VETiS Schools Year 1, ID17)","ACM10110|ACM20110: Certificate 1 and Certificate 2 in Animal Studies Course Home (AnSci-VETiS-Schools-Y1, ID17)","ACM10110|ACM20110: Certificate 1 and Certificate 2 in Animal Studies Course Home  (VETiS Schools Year 1, ID17)"
"ACM20110: (AnsSci-WSSC, #6266 2017)","ACM20110: Certificate II in Animal Studies Home (AnSci-WSSC, #6266 2017)","ACM20110: Certificate II in Animal Studies Home (AnsSci-WSSC, #6266 2017)"
"ACM20110: (VETiS Schools, #6267 2017)","ACM20110: Certificate II in Animal Studies Home (AnSci-VETiS-Schools, #6267 2017)","ACM20110: Certificate II in Animal Studies Home (VETiS Schools, #6267 2017)"
ACM30110: (Tasmania Schools),"ACM30110: Certificate III in Animal Studies Course Home (AnSci-Tasmania, 2017)",ACM30110: Certificate III in Animal Studies Course Home  (Tasmania Schools)
"ACM30612: (AniSci, #6383 2017)","ACM30612: Certificate III in Pet Grooming Home (AnSci, #6383 2017)","ACM30612: Certificate III in Pet Grooming Home (AniSci, #6383 2017)"
"ACMACR403A: (AnSci, Industry, 2017)","ACMACR403A: Identify and respond to animal behaviour (AnSci-Industry, 2017)","ACMACR403A: Identify and respond to animal behaviour (AnSci, Industry, 2017)"
"AHC30116: (NCDE, #6528 2017)","AHC30116: Certificate III in Agriculture Short Course Home (Dairy, #6528 2017)","AHC30116: Certificate III in Agriculture Short Course Home (NCDE, #6528 2017)"
"AHC30216: (NCDE, #6535 2017)","AHC30216: Certificate III in Agriculture Dairy Production Course Home (Dairy, #6535 2017)","AHC30216: Certificate III in Agriculture Dairy Production Course Home (NCDE, #6535 2017)"
"AHC30610: (Hydroponics, #6443 ID17)","AHC30610: Certificate III in Production Horticulture Course Home (Hydropon, #6443 ID17)","AHC30610: Certificate III in Production Horticulture Course Home (Hydroponics, #6443 ID17)"
"AHC30616: (Hydroponics, #6539 ID17)","AHC30616: Certificate III in Production Horticulture Course Home (Hydropon, #6539 ID17)","AHC30616: Certificate III in Production Horticulture Course Home (Hydroponics, #6539 ID17)"
"AHC50116: (NCDE, #6575 2017)","AHC50116: Diploma of Agriculture Home (Ag, #6575 2017)","AHC50116: Diploma of Agriculture Home (NCDE, #6575 2017)"
"AHCAGB502: (NCDE, ID17)","AHCAGB502: Plan and manage infrastructure requirements (Ag, ID17)","AHCAGB502: Plan and manage infrastructure requirements (NCDE, ID17)"
"AHCAGB602A: (NCDE, ID17) ","AHCAGB602A: Manage estate planning (Dairy, ID17)","AHCAGB602A: Manage estate planning (NCDE, ID17) "
"AHCBIO302 | AHCPMG302: (Hydroponics, ID17)","AHCBIO302 | AHCPMG302: Plant Health Cluster (Hydropon, ID17)","AHCBIO302 | AHCPMG302: Plant Health Cluster (Hydroponics, ID17)"
AHCBUS501: (ID17),"AHCBUS501: Manage Staff (CLM, ID17)",AHCBUS501: Manage Staff (ID17)
"AHCDRY201: (Ag, VETIS, ID17)","AHCDRY201: Milk livestock (Ag-VETiS, ID17)","AHCDRY201: Milk livestock (Ag, VETIS, ID17)"
"AHCINF201 | AHCINF202: (Ag, VETiS, ID17)","AHCINF201 | AHCINF202: Fencing Skills cluster (Ag-VETiS, ID17)","AHCINF201 | AHCINF202: Fencing Skills cluster (Ag, VETiS, ID17)"
"AHCINF302 | AHCINF303 | AHCMOM202: (NCDE, ID17)","AHCINF302 | AHCINF303 | AHCMOM202: Farm Skills 1 Cluster (Dairy, ID17)","AHCINF302 | AHCINF303 | AHCMOM202: Farm Skills 1 Cluster (NCDE, ID17)"
"AHCIRG301A | AHCIRG303 | AHCIRG305A: (Hydroponics, ID17)","AHCIRG301A | AHCIRG303 | AHCIRG305A: Irrigation in Hydroponics Cluster (Hydropon, ID17)","AHCIRG301A | AHCIRG303 | AHCIRG305A: Irrigation in Hydroponics Cluster (Hydroponics, ID17)"
"AHCLSK202 | AHCLSK205 | AHCLSK210 | AHCLSK211: (Ag, VETiS, 2017)","AHCLSK202 | AHCLSK205 | AHCLSK210 | AHCLSK211: Livestock health and handling cluster (Ag-VETiS, 2017)","AHCLSK202 | AHCLSK205 | AHCLSK210 | AHCLSK211: Livestock health and handling cluster (Ag, VETiS, 2017)"
"AHCLSK210: (Ag, VETiS, ID17)","AHCLSK210: Muster and move livestock (Ag-VETiS, ID17)","AHCLSK210: Muster and move livestock (Ag, VETiS, ID17)"
"AHCLSK313A: (NCDE, ID17)","AHCLSK313A: Implement and monitor environmentally sustainable work practices (Dairy, ID17)","AHCLSK313A: Implement and monitor environmentally sustainable work practices (NCDE, ID17)"
"AHCLSK318: (NCDE, ID17)","AHCLSK318: Rear newborn and young livestock (Dairy, ID17)","AHCLSK318: Rear newborn and young livestock (NCDE, ID17)"
"AHCMOM202: (Ag, VETiS, ID17)","AHCMOM202: Operate tractors (Ag-VETiS, ID17)","AHCMOM202: Operate tractors (Ag, VETiS, ID17)"
"AHCOHS401 | FDFOHS4002A: (Vit, CLM, Hort, ID17)","AHCOHS401 | FDFOHS4002A: Maintain OHS processes cluster (Vit-CLM-Hort, ID17)","AHCOHS401 | FDFOHS4002A: Maintain OHS processes cluster (Vit, CLM, Hort, ID17)"
"AHCPCM201: (Ag, VETiS, 2017)","AHCPCM201: Recognise plants (Ag-VETiS, 2017)","AHCPCM201: Recognise plants (Ag, VETiS, 2017)"
"AHCPCM301 | AHCHYD301: (Hydroponics, ID17)","AHCPCM301 | AHCHYD301: Plant Nutrition and Maintenance Cluster (Hydropon, ID17)","AHCPCM301 | AHCHYD301: Plant Nutrition and Maintenance Cluster (Hydroponics, ID17)"
"AHCPHT302 | AHCPHT303: (Hydroponics, ID17)","AHCPHT302 | AHCPHT303: Harvest and Post-Harvest Operations Cluster (Hydropon, ID17)","AHCPHT302 | AHCPHT303: Harvest and Post-Harvest Operations Cluster (Hydroponics, ID17)"
"AHCPHT305 | AHCPHT301: (Hydroponics, ID17)","AHCPHT305 | AHCPHT301: Crop Regulation Cluster (Hydropon, ID17)","AHCPHT305 | AHCPHT301: Crop Regulation Cluster (Hydroponics, ID17)"
"AHCSOL202 | AHCPHT306: (Hydroponics, ID17)","AHCSOL202 | AHCPHT306: Hydroponic Systems Crops and Media Cluster (Hydropon, ID17)","AHCSOL202 | AHCPHT306: Hydroponic Systems Crops and Media Cluster (Hydroponics, ID17)"
"AHCSOL202: (Ag, VETiS, 2017)","AHCSOL202: Assist with soil or growing media sampling and testing (Ag-VETiS, 2017)","AHCSOL202: Assist with soil or growing media sampling and testing (Ag, VETiS, 2017)"
"AHCWHS301: (Hydroponics,  ID17)","AHCWHS301: Contribute to work health and safety processes (Hydropon, ID17)","AHCWHS301: Contribute to work health and safety processes (Hydroponics,  ID17)"
"AHCWHS301: (hydroponics, ID17)","AHCWHS301: Contribute to work health and safety processes (Hydropon, ID17)","AHCWHS301: Contribute to work health and safety processes (hydroponics, ID17)"
"AHCWHS401 | AHCWHS501: (Vit, TB17)","AHCWHS401 | AHCWHS501: Maintain and manage WHS Processes Cluster (Vit, TB17)","AHCWHS401 | AHCWHS501: Maintain and manage WHS Processes Cluster (Vit, TB17)"
"AHCWHS501 | AHCWHS401: (Vit, Wine, CLM, ID17)","AHCWHS501 | AHCWHS401 | Work Health and Safety Cluster (Vit-Wine-CLM, ID17)","AHCWHS501 | AHCWHS401 | Work Health and Safety Cluster (Vit, Wine, CLM, ID17)"
"AHCWRK201 | AHCLSK209: (Ag, VETiS, 2017)","AHCWRK201 | AHCLSK209: Weather and Water Cluster (Ag-VETiS, 2017)","AHCWRK201 | AHCLSK209: Weather and Water Cluster (Ag, VETiS,2017)"
"AHCWRK201: (Ag, VETiS, ID17)","AHCWRK201: Observe and report on weather (Ag-VETiS, ID17)","AHCWRK201: Observe and report on weather (Ag, VETiS, ID17)"
"AHCWRK204 | AHCWRK205: (Ag, VETiS, 2017)","AHCWRK204 | AHCWRK205: Agriculture Industry Work Skills cluster (Ag-VETiS, 2017)","AHCWRK204 | AHCWRK205: Agriculture Industry Work Skills cluster (Ag, VETiS, 2017)"
"AHCWRK207: (Prod Hort, ID17)","AHCWRK207: Collect and record production data (Hort, ID17)","AHCWRK207: Collect and record production data (Prod Hort, ID17)"
"AHCWRK209: (Ag, VETiS, 2017)","AHCWRK209: Participate in environmentally sustainable work practices (Ag-VETiS, 2017)","AHCWRK209: Participate in environmentally sustainable work practices (Ag, VETiS, 2017)"
"AHCWRK302: (Hydroponics, ID17)","AHCWRK302: Monitor weather conditions (Hydropon, ID17)","AHCWRK302: Monitor weather conditions (Hydroponics, ID17)"
"AHCWRK403: (NCDE, ID17)","AHCWRK403: Supervise work routines and staff performance (Dairy, ID17)","AHCWRK403: Supervise work routines and staff performance (NCDE, ID17)"
"BSB50615: (NCDE, #6215 2017)","BSB50615: Diploma of Human Resources Management Home (Dairy, #6215 2017)","BSB50615: Diploma of Human Resources Management Home (NCDE, #6215 2017)"
"BSB60915: (BUS, #6657 2017)","BSB60915: Advanced Diploma of Management (Bus, #6657 2017)","BSB60915: Advanced Diploma of Management (Human Resources) Course Home (BUS, #6657 2017)"
"BSBCRT301: (BUS & IT, ID17)","BSBCRT301: Develop and Extend Critical and Creative Thinking Skills (GameDev, ID17)","BSBCRT301: Develop and Extend Critical and Creative Thinking Skills (BUS & IT, ID17)"
"BSBDIV601: (BUS, ID17)","BSBDIV601: Develop and Implement Diversity Policy (Bus, ID17)","BSBDIV601: Develop and Implement Diversity Policy (BUS, ID17)"
"BSBFIM601: (BUS, ID17)","BSBFIM601: Manage Finance (Bus, ID17)","BSBFIM601: Manage Finance (BUS, ID17)"
"BSBHRM501: (NCDE, 2017)","BSBHRM501: Manage human resource services (Dairy, 2017)","BSBHRM501: Manage human resource services (NCDE, 2017)"
"BSBHRM505: (NCDE, 2017)","BSBHRM505: Manage Remuneration and Employee Benefits (Dairy, 2017)","BSBHRM505: Manage Remuneration and Employee Benefits (NCDE, 2017)"
"BSBHRM506: (NCDE, 2017)","BSBHRM506: Manage recruitment selection and induction processes (Dairy, 2017)","BSBHRM506: Manage recruitment selection and induction processes (NCDE, 2017)"
BSBHRM507: (NCDE ID17),"BSBHRM507: Manage Separation or Termination (Dairy, NCDE ID17)",BSBHRM507: Manage Separation or Termination (NCDE ID17)
"BSBHRM512: (NCDE, ID17)","BSBHRM512: Develop and Manage Performance Management Processes (Dairy, ID17)","BSBHRM512: Develop and Manage Performance Management Processes (NCDE, ID17)"
BSBHRM513: (NCDE 2017),"BSBHRM513: Manage Workforce Planning (Dairy, NCDE 2017)",BSBHRM513: Manage Workforce Planning (NCDE 2017)
"BSBINN601: (BUS, ID17)","BSBINN601: Lead and Manage Organisational Change (Bus, ID17)","BSBINN601: Lead and Manage Organisational Change (BUS, ID17)"
"BSBITU201A| BSBCMM201A| ACMGAS202A: (Animal Science, 2017)","BSBITU201A| BSBCMM201A| ACMGAS202A: Communication Cluster (AnSci, 2017)","BSBITU201A| BSBCMM201A| ACMGAS202A: Communication Cluster (Animal Science, 2017)"
"BSBMGT608: (BUS, ID17)","BSBMGT608: Manage Innovation and Continuous Improvement (Bus, ID17)","BSBMGT608: Manage Innovation and Continuous Improvement (BUS, ID17)"
"BSBMGT616: (BUS, ID17)","BSBMGT616: Develop and Implement Strategic Plan (Bus, ID17)","BSBMGT616: Develop and Implement Strategic Plan (BUS, ID17)"
"BSBMGT617: (BUS, ID17)","BSBMGT617: Develop and Implement a Business Plan (Bus, ID17)","BSBMGT617: Develop and Implement a Business Plan (BUS, ID17)"
"BSBMGT624: (BUS, ID17)","BSBMGT624: Develop and Implement Corporate Social Responsibility (Bus, ID17)","BSBMGT624: Develop and Implement Corporate Social Responsibility (BUS, ID17)"
"BSBMKG609: (BUS, ID17)","BSBMKG609: Develop a Marketing Plan (Bus, ID17)","BSBMKG609: Develop a Marketing Plan (BUS, ID17)"
"BSBRSK501: (BUS, 2017)","BSBRSK501: Manage Risk (Bus, 2017)","BSBRSK501: Manage Risk (BUS, 2017)"
"BSBSBM401: (Plumbing, 2017)","BSBSBM401: Establish business and legal requirements (Plumb, 2017)","BSBSBM401: Establish business and legal requirements (Plumbing, 2017)"
"BSBSMB406A: (NCDE, ID17)","BSBSMB406A: Manage Small Business Finances (Dairy, ID17)","BSBSMB406A: Manage Small Business Finances (NCDE, ID17)"
"BSBWHS201: (Bus & IT, ID17)","BSBWHS201: Contribute to Health and Safety of Self and Others (GameDev, ID17)","BSBWHS201: Contribute to Health and Safety of Self and Others (Bus & IT, ID17)"
BSBWHS304: (ID17),"BSBWHS304: Participate effectively in WHS communication and consultation processes (IT, ID17)",BSBWHS304: Participate effectively in WHS communication and consultation processes (ID17)
"BSBWHS401: (NCDE, 2017)","BSBWHS401: Implement and monitor WHS policies procedures and programs to meet legislative requirements (Dairy, 2017)","BSBWHS401: Implement and monitor WHS policies procedures and programs to meet legislative requirements (NCDE, 2017)"
"BSBWRT301: (Plumbing, ID17)","BSBWRT301: Write Simple Documents (Plumb, ID17)","BSBWRT301: Write Simple Documents (Plumbing, ID17)"
"CHCCCS012: (AllHth, ID17)","CHCCCS012: Prepare and maintain beds (AllHlth, ID17)","CHCCCS012: Prepare and maintain beds (AllHth, ID17)"
"CHCCCS015 | CHCLEG001: (Ageing-HAC, 2017)","CHCCCS015 | CHCLEG001: Introduction to Ageing (AgedCare-HAC, 2017)","CHCCCS015 | CHCLEG001: Introduction to Ageing (Ageing-HAC, 2017)"
"CHCLEG001 | BSBWOR301: (ChildServ-SBATS, (2017)","CHCLEG001 | BSBWOR301: Professionalism Cluster (ChildServ-SBAT, 2017)","CHCLEG001 | BSBWOR301: Professionalism Cluster (ChildServ-SBATS, 2017)"
"CPC20211: Certificate II in Construction Pathways Course Home (Carpentry, #6601 2017)","CPC20211: Certificate II in Construction Pathways Course Home (Carptry, #6601 2017)","CPC20211: Certificate II in Construction Pathways Course Home (Carpentry, #6601 2017)"
"CPC30211: (Carpentry, #6282 2017)","CPC30211: Certificate III in Carpentry Course Home (Carptry, #6282 2017)","CPC30211: Certificate III in Carpentry Course Home (Carpentry, #6282 2017)"
"CPC31912: (Jnry, #6283 2017)","CPC31912: Certificate III in Joinery Course Home (Jnry, #6283 2017)","CPC31912: Certificate III in Joinery Course Home (Jnry, #6283 2017)"
CPC32413: (ID17),"CPC32413: Certificate III in Plumbing Course Home (Plumb, ID17)",CPC32413: Certificate III in Plumbing Course Home (ID17)
"CPC40110: (Building, ID17)","CPC40110: Certificate IV in Building and Construction (Build, ID17)","CPC40110: Certificate IV in Building and Construction (Building, ID17)"
"CPC40912: Certificate IV in Plumbing Home (Plumbing, #6496 2017)","CPC40912: Certificate IV in Plumbing Home (Plumb, #6496 2017)","CPC40912: Certificate IV in Plumbing Home (Plumbing, #6496 2017)"
"CPCCCA2003A | CPCCCO2013A | CPCCCM2002A: (Carpentry, 2017)","CPCCCA2003A | CPCCCO2013A | CPCCCM2002A: Excavation and Concreting Cluster (Carptry, 2017)","CPCCCA2003A | CPCCCO2013A | CPCCCM2002A: Excavation and Concreting Cluster (Carpentry, 2017)"
"CPCCCA2003A | CPCCCO2013A: Formwork for Concrete Cluster (Construction, 2017)","CPCCCA2003A | CPCCCO2013A: Formwork for Concrete Cluster (Construct, 2017)","CPCCCA2003A | CPCCCO2013A: Formwork for Concrete Cluster (Construction, 2017)"
"CPCCCA2011A | CPCCSH2003A | CPCCCA3013A: (Joinery, 2017)","CPCCCA2011A | CPCCSH2003A | CPCCCA3013A: Handle Carpentry Materials Cluster (Jnry, 2017)","CPCCCA2011A | CPCCSH2003A | CPCCCA3013A: Handle Carpentry Materials Cluster (Joinery, 2017)"
"CPCCCA2011A: (Construction, 2017)","CPCCCA2011A: Handle carpentry materials (Construct, 2017)","CPCCCA2011A: Handle carpentry materials  (Construction, 2017)"
"CPCCCA3003A | CPCCCA3002A | CPCCCA2011A: (Carpentry, 2017)","CPCCCA3003A | CPCCCA3002A | CPCCCA2011A: Setting Out Cluster (Carptry, 2017)","CPCCCA3003A | CPCCCA3002A | CPCCCA2011A: Setting Out Cluster (Carpentry, 2017)"
"CPCCCA3004A | CPCCCA3001A: (Carpentry, 2017)","CPCCCA3004A | CPCCCA3001A: Demolition and Wall Frames Cluster (Carptry, 2017)","CPCCCA3004A | CPCCCA3001A: Demolition and Wall Frames Cluster (Carpentry, 2017)"
"CPCCCA3005B | CPCCCA3007C: (Carpentry, 2017)","CPCCCA3005B | CPCCCA3007C: Roofing (Carptry, 2017)","CPCCCA3005B | CPCCCA3007C: Roofing  (Carpentry, 2017)"
"CPCCCA3006B: (Carpentry, 2017)","CPCCCA3006B: Erect roof trusses (Carptry, 2017)","CPCCCA3006B: Erect roof trusses (Carpentry, 2017)"
"CPCCCA3008B | CPCCCA3017B: (Carpentry, 2017)","CPCCCA3008B | CPCCCA3017B: Eaves and Cladding Cluster (Carptry, 2017)","CPCCCA3008B | CPCCCA3017B: Eaves and Cladding Cluster (Carpentry, 2017)"
"CPCCCA3009B: (Carpentry, 2017)","CPCCCA3009B: Construct advanced roofs (Carptry, 2017)","CPCCCA3009B: Construct advanced roofs (Carpentry, 2017)"
"CPCCCA3010A: (Carpentry, 2017)","CPCCCA3010A: Install and replace windows and doors (Carptry, 2017)","CPCCCA3010A: Install and replace windows and doors (Carpentry, 2017)"
"CPCCCA3012A: (Carpentry, 2017)","CPCCCA3012A: Frame and fit wet Area fixtures (Carptry, 2017)","CPCCCA3012A: Frame and fit wet Area fixtures (Carpentry, 2017)"
"CPCCCA3013A: (Carpentry, 2017)","CPCCCA3013A: Install lining panelling and moulding (Carptry, 2017)","CPCCCA3013A: Install lining panelling and moulding (Carpentry, 2017)"
"CPCCCA3014A: (Joinery, 2017)","CPCCCA3014A: Construct bulkheads (Jnry, 2017)","CPCCCA3014A: Construct bulkheads (Joinery, 2017)"
"CPCCCA3015A | CPCCJN2001A: (Joinery, 2017)","CPCCCA3015A | CPCCJN2001A: Assemble Partitions Cluster (Jnry, 2017)","CPCCCA3015A | CPCCJN2001A: Assemble Partitions Cluster (Joinery, 2017)"
"CPCCCA3016A | CPCCJS3011A | CPCCJS3002A: (Joinery, 2017)","CPCCCA3016A | CPCCJS3011A | CPCCJS3002A: Stairs Cluster (Jnry, 2017)","CPCCCA3016A | CPCCJS3011A | CPCCJS3002A: Stairs Cluster (Joinery, 2017)"
"CPCCCA3016A: (Carpentry, 2017)","CPCCCA3016A: Construct timber external stairs (Carptry, 2017)","CPCCCA3016A: Construct timber external stairs (Carpentry, 2017)"
"CPCCCA3023A: (Carpentry, 2017)","CPCCCA3023A: Levelling (Carptry, 2017)","CPCCCA3023A: Levelling (Carpentry, 2017)"
"CPCCCM1015A | CPCCCM1012A | CPCCCA2002B: (BuildConst-BuildJnry, 2017)","CPCCCM1015A | CPCCCM1012A | CPCCCA2002B: Building Industry Basics Cluster (Build-Jnry, 2017)","CPCCCM1015A | CPCCCM1012A | CPCCCA2002B: Building Industry Basics Cluster (BuildConst-BuildJnry, 2017)"
"CPCCCM1015A | CPCCCM1012A | CPCCCA2002B: (Construction, 2017)","CPCCCM1015A | CPCCCM1012A | CPCCCA2002B: Building Industry Basics Cluster (Construct, 2017)","CPCCCM1015A | CPCCCM1012A | CPCCCA2002B: Building Industry Basics Cluster (Construction, 2017)"
"CPCCCM1015A: (BuildConst-Plumb, ID17)","CPCCCM1015A: Carry out measurements and calculations (Plumb, ID17)","CPCCCM1015A: Carry out measurements and calculations (BuildConst-Plumb, ID17)"
"CPCCCM2001A: (BuildConst-BuildJnry, 2017)","CPCCCM2001A: Read and interpret plans and specifications (Build-Jnry, 2017)","CPCCCM2001A: Read and interpret plans and specifications (BuildConst-BuildJnry, 2017)"
"CPCCCM2001A: (BuildConst-Plumb, ID17)","CPCCCM2001A: Read and interpret plans and specifications (Plumb, ID17)","CPCCCM2001A: Read and interpret plans and specifications (BuildConst-Plumb, ID17)"
"CPCCCM2001A: (Construction, 2017)","CPCCCM2001A: Read and interpret plans and specifications (Construct, 2017)","CPCCCM2001A: Read and interpret plans and specifications (Construction, 2017)"
"CPCCCM2006B: (Construction, 2017)","CPCCCM2006B: Apply basic levelling procedures (Construct, 2017)","CPCCCM2006B: Apply basic levelling procedures (Construction, 2017)"
"CPCCCM2006B: (Joinery, 2017)","CPCCCM2006B: Apply basic levelling procedures (Jnry, 2017)","CPCCCM2006B: Apply basic levelling procedures (Joinery, 2017)"
"CPCCCM2007B: (BuildConst-BuildJnry, 2017)","CPCCCM2007B: Use Explosive Power Tools (Build-Jnry, 2017)","CPCCCM2007B: Use Explosive Power Tools (BuildConst-BuildJnry, 2017)"
"CPCCCM2010B | CPCCCM2008B: (Carpentry, 2017)","CPCCCM2010B | CPCCCM2008B: Working at Heights Cluster (Carptry, 2017)","CPCCCM2010B | CPCCCM2008B: Working at Heights Cluster  (Carpentry, 2017)"
"CPCCCM2010B: (Carpentry, 2017)","CPCCCM2010B: Work safely at heights (Construct, 2017)","CPCCCM2010B: Work safely at heights (Construction, 2017)"
"CPCCCM2010B: (Joinery, 2017)","CPCCCM2010B: Work safely at heights (Jnry, 2017)","CPCCCM2010B: Work safely at heights (Joinery, 2017)"
"CPCCCM3001C: (BuildConst, 2017)","CPCCCM3001C: Operate elevated work platforms (Carptry, 2017)","CPCCCM3001C: Operate elevated work platforms (Carpentry, 2017)"
"CPCCJN2001A: (Construction, 2017)","CPCCJN2001A: Assemble Components (Construct, 2017)","CPCCJN2001A: Assemble Components (Construction, 2017)"
"CPCCJN2002B: (Joinery, 2017)","CPCCJN2002B: Prepare for off-site manufacturing process (Jnry, 2017)","CPCCJN2002B: Prepare for off-site manufacturing process (Joinery, 2017)"
"CPCCJN2003A: (Joinery, 2017)","CPCCJN2003A: Packaged manufactured goods for transport (Jnry, 2017)","CPCCJN2003A: Packaged manufactured goods for transport (Joinery, 2017)"
"CPCCJN3001A: (Joinery, 2017)","CPCCJN3001A: Use Static Machines (Jnry, 2017)","CPCCJN3001A: Use Static Machines (Joinery, 2017)"
"CPCCJN3002A: (Joinery, 2017)","CPCCJN3002A: Use computer controlled machinery (Jnry, 2017)","CPCCJN3002A: Use computer controlled machinery (Joinery, 2017)"
"CPCCJN3003A | CPCCCA3011A: (Joinery, 2017)","CPCCJN3003A | CPCCCA3011A: Manufacturing Components Cluster (Jnry, 2017)","CPCCJN3003A | CPCCCA3011A: Manufacturing Components Cluster (Joinery, 2017)"
"CPCCJN3004A | CPCCSH3005A | CPCCSH3001A: (Joinery, 2017)","CPCCJN3004A | CPCCSH3005A | CPCCSH3001A: Set out and Assemble Components  - CPC31912 (Jnry, 2017)","CPCCJN3004A | CPCCSH3005A | CPCCSH3001A: Set out and Assemble Components  CPC31912: (Joinery, 2017)"
"CPCCOHS2001A | CPCCCM1013A | CPCCCM1014A: (BuildConst-BuildJnry, 2017)","CPCCOHS2001A | CPCCCM1013A | CPCCCM1014A: Building Foundation Cluster (Build-Jnry, 2017)","CPCCOHS2001A | CPCCCM1013A | CPCCCM1014A: Building Foundation Cluster (BuildConst-BuildJnry, 2017)"
"CPCCOHS2001A | CPCCCM1013A | CPCCCM1014A: Foundation Cluster (Construction, 2017)","CPCCOHS2001A | CPCCCM1013A | CPCCCM1014A: Foundation Cluster (Construct, 2017)","CPCCOHS2001A | CPCCCM1013A | CPCCCM1014A: Foundation Cluster (Construction, 2017)"
