shortname,fullname,OLD NAME
"CPCCOHS2001A: (BuildConst-Plumb, ID17)","CPCCOHS2001A: Apply OHS requirements, policies and procedures in the construction industry (Plumb, ID17)","CPCCOHS2001A: Apply OHS requirements, policies and procedures in the construction industry (BuildConst-Plumb, ID17)"
"CPCPCM2039A: (Plumbing, ID17)","CPCPCM2039A: Carry out interactive workplace communication (Plumb, ID17)","CPCPCM2039A: Carry out interactive workplace communication (Plumbing, ID17)"
"CPCPCM2043A: (Plumbing, ID17)","CPCPCM2043A: Carry out WHS requirements (Plumb, ID17)","CPCPCM2043A: Carry out WHS requirements (Plumbing, ID17)"
"CPCPCM4011A: (Plumbing, 2017)","CPCPCM4011A: Carry out work-based risk control (Plumb, 2017)","CPCPCM4011A: Carry out work-based risk control (Plumbing, 2017)"
"CPCPCM4012A: (Plumbing, 2017)","CPCPCM4012A: Estimate and cost work (Plumb, 2017)","CPCPCM4012A: Estimate and cost work (Plumbing, 2017)"
"CUA50715: (ArtDes, #6412 2017)","CUA50715: Diploma of Graphic Design Course Home (Design, #6412 2017)","CUA50715: Diploma of Graphic Design Course Home (ArtDes, #6412 2017)"
"CUAANM301 | BSBDES201 | BSBDES302: (BUS & IT, ID17)","CUAANM301 | BSBDES201 | BSBDES302: 2D Animation Cluster (GameDev, ID17)","CUAANM301 | BSBDES201 | BSBDES302: 2D Animation Cluster (BUS & IT, ID17)"
"CUAANM303: (BUS & IT, ID17)","CUAANM303: Create 3D Digital Models (GameDev, ID17)","CUAANM303: Create 3D Digital Models (BUS & IT, ID17)"
"CUABRD301: (BUS & IT, ID17)","CUABRD301: Perform Basic Transmission Operations (GameDev, ID17)","CUABRD301: Perform Basic Transmission Operations (BUS & IT, ID17)"
"CUADIG201 | CUADIG303: (BUS & IT, ID17)","CUADIG201 | CUADIG303: Workplace Based Tasks Cluster (GameDev, ID17)","CUADIG201 | CUADIG303: Workplace Based Tasks Cluster (BUS & IT, ID17)"
"CUADIG304: (BUS & IT, ID17)","CUADIG304: Create Visual Design Components (GameDev, ID17)","CUADIG304: Create Visual Design Components (BUS & IT, ID17)"
"CUAGRD506: (ArtDes, ID17)","CUAGRD506: Develop graphic design practice to meet industry needs (Design, ID17)","CUAGRD506: Develop graphic design practice to meet industry needs (ArtDes, ID17)"
"CUAIND301: (BUS & IT, ID17)","CUAIND301: Work Effectively in the Creative Arts Industry (GameDev, ID17)","CUAIND301: Work Effectively in the Creative Arts Industry (BUS & IT, ID17)"
"CUAPHI514: (ArtDes, 2017)","CUAPHI514: Prepare digital images for pre-press processing (Design, 2017)","CUAPHI514: Prepare digital images for pre-press processing (ArtDes, 2017)"
"CUASOU301 | CUADIG301: (BUS & IT, ID17)","CUASOU301 | CUADIG301: Audio/Visual Cluster (GameDev, ID17)","CUASOU301 | CUADIG301: Audio/Visual Cluster (BUS & IT, ID17)"
"CUFCMP301A: (BUS & IT, ID17)","CUFCMP301A: Implement Copyright Arrangements (GameDev, ID17)","CUFCMP301A: Implement Copyright Arrangements (BUS & IT, ID17)"
"CUVACD303A: (Plumbing, ID17)","CUVACD303A: Produce technical drawings (Plumb, ID17)","CUVACD303A: Produce technical drawings (Plumbing, ID17)"
"Dairy By Design - the Fundamentals of Dairy Technology (NCDE Food Pro, ID17)","Dairy By Design - the Fundamentals of Dairy Technology (FoodPro, ID17)","Dairy By Design - the Fundamentals of Dairy Technology (NCDE Food Pro, ID17)"
"FDF40311: (NCDE Food Pro-L1, #6399 2017)","FDF40311: Certificate IV in Food Science and Technology Home (FoodPro-L1, #6399 2017)","FDF40311: Certificate IV in Food Science and Technology Home (NCDE Food Pro-L1, #6399 2017)"
"FDF50311: (NCDE Food Pro-L2, #6398 2017)","FDF50311: Diploma of Food Science and Technology Home (FoodPro-L2, #6398 2017)","FDF50311: Diploma of Food Science and Technology Home (NCDE Food Pro-L2, #6398 2017)"
"FDF50311: (NCDE Food Pro-L3, #6397 2017)","FDF50311: Diploma of Food Science and Technology Home (FoodPro-L3, #6397 2017)","FDF50311: Diploma of Food Science and Technology Home (NCDE Food Pro-L3, #6397 2017)"
"FDFCH4002A | FDFCH4003A | FDFCH4004A | MSL975005A: (NCDE Food Pro, 2017)","FDFCH4002A | FDFCH4003A | FDFCH4004A | MSL975005A: Cheese Technology Cluster (FoodPro, 2017)","FDFCH4002A | FDFCH4003A | FDFCH4004A | MSL975005A: Cheese Technology Cluster (NCDE Food Pro, 2017)"
"FDFFS5001A | MSL933003: (NCDE-Food Pro, SE17)","FDFFS5001A | MSL933003: HACCP Cluster (FoodPro, SE17)","FDFFS5001A | MSL933003: HACCP Cluster (NCDE Food Pro, SE17)"
"FDFFST4002A | FDFFST4010A | MSL934002 | MSL915001: (NCDE Food Pro, 2017)","FDFFST4002A | FDFFST4010A | MSL934002 | MSL915001: Quality Assurance Cluster (FoodPro, 2017)","FDFFST4002A | FDFFST4010A | MSL934002 | MSL915001: Quality Assurance Cluster (NCDE Food Pro, 2017)"
"FDFFST4004A | MSL973007A | MSL973003 | MSL973004 | MSL974006: (Dairy L1, ID17)","FDFFST4004A | MSL973007A | MSL973003 | MSL973004 | MSL974006: Microbiology Cluster (FoodPro-L1, ID17)","FDFFST4004A | MSL973007A | MSL973003 | MSL973004 | MSL974006: Microbiology Cluster (Dairy L1, ID17)"
"FDFFST4007A | FDFFST4020A: (NCDE Food Pro, SE17)","FDFFST4007A | FDFFST4020A: Workplace Operations Cluster (FoodPro, SE17)","FDFFST4007A | FDFFST4020A: Workplace Operations Cluster (NCDE Food Pro, SE17)"
"FDFFST4011A | FDFTEC4005A: (Dairy L1, 2017)","FDFFST4011A | FDFTEC4005A Nutrition Cluster (FoodPro-L1, 2017)","FDFFST4011A | FDFTEC4005A Nutrition Cluster (Dairy L1, 2017)"
"FDFFST5001A: (NCDE Food Pro, SE17)","FDFFST5001A: Monitor refrigeration and air conditioning systems in food processing (FoodPro, SE17)","FDFFST5001A: Monitor refrigeration and air conditioning systems in food processing (NCDE Food Pro, SE17)"
"FDFFST5003A | FDFOP2015A | FDFTEC4007A | MSL924001: (NCDE Food Pro, 2017)","FDFFST5003A | FDFOP2015A | FDFTEC4007A | MSL924001: Process Control Cluster (FoodPro, 2017)","FDFFST5003A | FDFOP2015A | FDFTEC4007A | MSL924001: Process Control Cluster (NCDE Food Pro, 2017)"
"FDFFST5005A | MSL973001 | MSL975022 | FDFFST5004A: (NCDE Food Pro, 2017)","FDFFST5005A | MSL973001 | MSL975022 | FDFFST5004A: Dairy Chemistry Cluster (FoodPro, 2017)","FDFFST5005A | MSL973001 | MSL975022 | FDFFST5004A: Dairy Chemistry Cluster (NCDE Food Pro, 2017)"
"FDFFST5023A: (NCDE Food Pro, ID17)","FDFFST5023A: Implement and review the production of milk fat products (FoodPro, ID17)","FDFFST5023A: Implement and review the production of milk fat products (NCDE Food Pro, ID17)"
"FDFFST5024A | FDFFST5002A: (NCDE Food Pro, SE17)","FDFFST5024A | FDFFST5002A: Fermented Dairy Products Cluster (FoodPro, SE17)","FDFFST5024A | FDFFST5002A: Fermented Dairy Products Cluster (NCDE Food Pro, SE17)"
"FDFFST5025A | FDFFST5030A: (NCDE FP, SE17)","FDFFST5025A | FDFFST5030A: Concentrated and Dried Dairy Products Cluster (FoodPro, SE17)","FDFFST5025A | FDFFST5030A: Concentrated and Dried Dairy Products Cluster (NCDE FP, SE17)"
"FDFFST5026A: (NCDE Food Pro, ID17)","FDFFST5026A: Implement and review the production of ice creams and frozen dairy desserts (FoodPro, ID17)","FDFFST5026A: Implement and review the production of ice creams and frozen dairy desserts {NCDE Food Pro, ID17)"
"FDFFST5027A: (NCDE Food Pro, ID17)","FDFFST5027A: Implement and review the production of milk and related products by the membrane system (FoodPro, ID17)","FDFFST5027A: Implement and review the production of milk and related products by the membrane system (NCDE Food Pro, ID17)"
"FDFOHS4002A | FDFOP2061A | MSL913001 | MSL943002 | MSL913002: (NCDE Food Pro L1, SE17) ","FDFOHS4002A | FDFOP2061A | MSL913001 | MSL943002 | MSL913002: Workplace Skills (FoodPro-L1, SE17)","FDFOHS4002A | FDFOP2061A | MSL913001 | MSL943002 | MSL913002: Workplace Skills (NCDE Food Pro L1, SE17) "
"FDFTEC4003A | FDFFS2001A | FDFFS3001A | FDFFS4001A: (NCDE Food Pro, SE17)","FDFTEC4003A | FDFFS2001A | FDFFS3001A | FDFFS4001A: Quality Control Cluster (FoodPro, SE17)","FDFTEC4003A | FDFFS2001A | FDFFS3001A | FDFFS4001A: Quality Control Cluster (NCDE Food Pro, SE17)"
"FDFTEC4004A | FDFOP2030A: (NCDE-Food Pro, SE17)","FDFTEC4004A | FDFOP2030A: Engineering Principles Cluster (FoodPro, SE17)","FDFTEC4004A | FDFOP2030A: Engineering Principles Cluster (NCDE Food Pro, SE17)"
"FDFTEC4011A | SFIPROC504C: (NCDE-Food Pro, SE17)","FDFTEC4011A | SFIPROC504C: Product Recall Cluster (FoodPro, SE17)","FDFTEC4011A | SFIPROC504C: Product Recall Cluster (NCDE-Food Pro, SE17)"
GOTAFE Agri NCDE ResLib,"GOTAFE Agriculture and NCDE Resource Library (Ag-Dairy, 2017)",GOTAFE Agriculture and NCDE Resource Library
"HLTAID002: (Ag, VETiS, ID17)","HLTAID002: Provide basic emergency life support (Ag-VETiS, ID17)","HLTAID002: Provide basic emergency life support (Ag, VETiS, ID17)"
"HLTEN620B: (Nursing, 2017)","HLTEN620B: Practice in first line emergency nursing (Nurse, 2017)","HLTEN620B: Practice in first line emergency nursing (Nursing, 2017)"
ICT30115: (ID17),"ICT30115: Certificate III in Information, Digital Media and Technology Home (IT, ID17)","ICT30115: Certificate III in Information, Digital Media and Technology Home (ID17)"
ICT40415: (ID17),"ICT40415: Certificate IV in Information Technology Networking Home (IT, ID17)",ICT40415: Certificate IV in Information Technology Networking Home (ID17)
ICTICT202 | ICTSAS301 | ICTNWK302 | ICTNWK304 | ICTICT303 | ICTSAS303 | ICTSAS305 | ICTSAS305 | ICTSAS306: (ID17),"ICTICT202 | ICTSAS301 | ICTNWK302 | ICTNWK304 | ICTICT303 | ICTSAS303 | ICTSAS305 | ICTSAS305 | ICTSAS306: Helpdesk and Maintenance Cluster (IT, ID17)",ICTICT202 | ICTSAS301 | ICTNWK302 | ICTNWK304 | ICTICT303 | ICTSAS303 | ICTSAS305 | ICTSAS305 | ICTSAS306: Helpdesk and Maintenance Cluster (ID17)
ICTICT301: (ID17),"ICTICT301: Create user documentation (IT, ID17)",ICTICT301: Create user documentation (ID17)
ICTICT302 | ICTNWK301 | ICTNWK305 | ICTSAS304 | ICTNWK303 | ICTNWK304: (ID17),"ICTICT302 | ICTNWK301 | ICTNWK305 | ICTSAS304 | ICTNWK303 | ICTNWK304: Networking 1 Cluster (IT, ID17)",ICTICT302 | ICTNWK301 | ICTNWK305 | ICTSAS304 | ICTNWK303 | ICTNWK304: Networking 1 Cluster (ID17)
ICTICT408 | ICTNWK401 | ICTNWK402 | ICTNWK403 | ICTNWK406 | ICTNWK407 | ICTNWK411: (ID17),"ICTICT408 | ICTNWK401 | ICTNWK402 | ICTNWK403 | ICTNWK406 | ICTNWK407 | ICTNWK411: Networking1 (IT, ID17)",ICTICT408 | ICTNWK401 | ICTNWK402 | ICTNWK403 | ICTNWK406 | ICTNWK407 | ICTNWK411: Networking1 (ID17)
"MSFFF2006: (Joinery, 2017)","MSFFF2006: Apply surface coatings by spray gun (Jnry, 2017)","MSFFF2006: Apply surface coatings by spray gun (Joinery, 2017)"
"MSFFFM2004 | MSFFM3002 | MSFFM3024 | MSFFM3007: (Cabinet, 2017) ","MSFFFM2004 | MSFFM3002 | MSFFM3024 | MSFFM3007: Cluster (Cab, 2017)","MSFFFM2004 | MSFFM3002 | MSFFM3024 | MSFFM3007: Cluster (Cabinet, 2017) "
"MSFFM2002: (Cabinet, 2017) ","MSFFM2002: Assemble furnishing components (Cab, 2017)","MSFFM2002: Assemble furnishing components (Cabinet, 2017) "
"MSFFM2003: (Cabinet, 2017) ","MSFFM2003: Select and apply hardware (Cab, 2017)","MSFFM2003: Select and apply hardware (Cabinet, 2017) "
"MSFFM2005: (Cabinet, 2017)","MSFFM2005: Join Solid Timber FURN (Cab, 2017)","MSFFM2005: Join Solid Timber FURN (Cabinet, 2017)"
"MSFFM2010: (Cabinet, 2017)","MSFFM2010: Set up and operate basic static machines (Cab, 2017)","MSFFM2010: Set up and operate basic static machines (Cabinet, 2017)"
"MSFFM2011 | MSFFM3003: (Cabinet, 2017)","MSFFM2011 | MSFFM3003: Manufacturing Products Cluster (Cab, 2017)","MSFFM2011 | MSFFM3003: Manufacturing Products Cluster (Cabinet, 2017)"
"MSFFM3001: (Cabinet, ID17)","MSFFM3001: Construct chair and couch frames (Cab, ID17)","MSFFM3001: Construct chair and couch frames (Cabinet, ID17)"
"MSFFM3004 | MSFFM3012 | MSFFM3015: (Cabinet, 2017)","MSFFM3004 | MSFFM3012 | MSFFM3015: Curved Timber FURN Cluster (Cab, 2017)","MSFFM3004 | MSFFM3012 | MSFFM3015: Curved Timber FURN Cluster (Cabinet, 2017)"
"MSFFM3005: (Cabinet, 2017)","MSFFM3005: Fabricate custom furniture (Cab, 2017)","MSFFM3005: Fabricate custom furniture (Cabinet, 2017)"
"MSFFM3009: (Cabinet, 2017)","MSFFM3009: Produce manual and computer-aided production drawings (Cab, 2017)","MSFFM3009: Produce manual and computer-aided production drawings (Cabinet, 2017)"
"MSFFM3010: (Cabinet, 2017)","MSFFM3010: Prepare Cutting List from Plans and Job Specifications (Cab, 2017)","MSFFM3010: Prepare Cutting List from Plans and Job Specifications (Cabinet, 2017)"
"MSFFM3019: (Cabinet, 2017)","MSFFM3019: Set up operate and maintain automated edge banding machines (Cab, 2017)","MSFFM3019: Set up operate and maintain automated edge banding machines (Cabinet, 2017)"
"MSFFM3022: (Cabinet, 2017)","MSFFM3022: Set up, operate and maintain computer nemerically controlled (Cab, 2017)","MSFFM3022: Set up, operate and maintain computer nemerically controlled (CNC) machining and processing centres (Cabinet, 2017)"
"MSFGN2001 | MSFFM2001 | MSFFM2006: (Cabinet, 2017)","MSFGN2001 | MSFFM2001 | MSFFM2006: Hand and Power Tools Cluster (Cab, 2017)","MSFGN2001 | MSFFM2001 | MSFFM2006: Hand and Power Tools Cluster (Cabinet, 2017)"
"MSFGN2001 | MSFFM2001 | MSFFM2006: (Cabinet, ID18)","MSFGN2001 | MSFFM2001 | MSFFM2006: Hand and Power Tools Cluster (Cab , ID18)","MSFGN2001 | MSFFM2001 | MSFFM2006: Hand and Power Tools Cluster (Cabinet, ID18)"
"MSFGN3001: (Cabinet, 2017) ","MSFGN3001: Read and interpret work documents (Cab, 2017)","MSFGN3001: Read and interpret work documents (Cabinet, 2017) "
"MSFKB2001 | MSFKB3002 | MSFKB3003 | MSFKB3004 | MSFKB3006: (Cabinet, 2017)","MSFKB2001 | MSFKB3002 | MSFKB3003 | MSFKB3004 | MSFKB3006: (Cab, 2017)","MSFKB2001 | MSFKB3002 | MSFKB3003 | MSFKB3004 | MSFKB3006: (Cabinet, 2017)"
"MSFKB3004 | MSFKB3006: (Joinery, 2017)","MSFKB3004 | MSFKB3006: Cabinet Installations Cluster (Jnry, 2017)","MSFKB3004 | MSFKB3006: Cabinet Installations Cluster (Joinery, 2017)"
"MSFKB3005 | MSFKB3001: (Cabinet, 2017)","MSFKB3005 | MSFKB3001: Cabinet Making - Final Project KB Cluster (Cab, 2017)","MSFKB3005 | MSFKB3001: Cabinet Making - Final Project KB Cluster (Cabinet, 2017)"
"MSL905001 | MSL975020: (NCDE Food Pro, 2017)","MSL905001 | MSL975020: Spectrophotometry Cluster (FoodPro, 2017)","MSL905001 | MSL975020: Spectrophotometry Cluster (NCDE Food Pro, 2017)"
"MSL924002 | MSL925001: (NCDE-FoodPro, 2017)","MSL924002 | MSL925001: Data Analysis and Reporting Cluster (FoodPro, 2017)","MSL924002 | MSL925001: Data Analysis and Reporting Cluster (NCDE-FoodPro, 2017)"
"MSL934001 | MSL936002: (NCDE Food Pro, SE17)","MSL934001 | MSL936002: Continuous Improvement Cluster (FoodPro, SE17)","MSL934001 | MSL936002: Continuous Improvement Cluster (NCDE Food Pro, SE17)"
"MSL935004A | MSL904001 | MSL933004A: (Dairy L1, 2017) ","MSL935004A | MSL904001 | MSL933004A: Calibration Cluster (FoodPro-L1, 2017)","MSL935004A | MSL904001 | MSL933004A: Calibration Cluster (Dairy L1, 2017) "
"MSL944001 | FDFFST5006A | MSL975001: (NCDE Food Pro, ID17)","MSL944001 | FDFFST5006A | MSL975001: Dairy Microbilogy Cluster (FoodPro, ID17)","MSL944001 | FDFFST5006A | MSL975001: Dairy Microbilogy Cluster (NCDE Food Pro, ID17)"
"MSL974003 | MSL974005 | MSL974004 | MSL974001: (Dairy L1, 2017)","MSL974003 | MSL974005 | MSL974004 | MSL974001: Chemistry Cluster (FoodPro-L1, 2017)","MSL974003 | MSL974005 | MSL974004 | MSL974001: Chemistry Cluster(Dairy L1, 2017)"
"MSL975012 | MSL977001 | MSL976003 : (NCDE FPro, SE17)","MSL975012 | MSL977001 | MSL976003 : Applications Project Cluster (FoodPro, SE17)","MSL975012 | MSL977001 | MSL976003 : Applications Project Cluster (NCDE FPro, SE17)"
"MSMENV272 | FDFFST4012A | MSMENV472 | MSL974007: (NCDE Food Pro L1, SE17)","MSMENV272 | FDFFST4012A | MSMENV472 | MSL974007: Enviromental Sustainablility Cluster (FoodPro-L1, SE17)","MSMENV272 | FDFFST4012A | MSMENV472 | MSL974007: Enviromental Sustainablility Cluster (NCDE Food Pro L1, SE17) "
"MSMENV272: (Cabinet, 2017) ","MSMENV272: Participate in environmentally sustainable work practices (Cab, 2017)","MSMENV272: Participate in environmentally sustainable work practices (Cabinet, 2017) "
"MSMWHS200 | MSMSUP102 | MSMSUP106: (Cabinet, 2017)","MSMWHS200 | MSMSUP102 | MSMSUP106: Foundation Cluster (Cab, 2017)","MSMWHS200 | MSMSUP102 | MSMSUP106: Foundation Cluster (Cabinet, 2017)"
"Plantfile: (CLM, Hort, Vit, ID17)","Plantfile: (CLM-Hort-Vit, ID17)","Plantfile: (CLM, Hort, Vit, ID17)"
"PSPGOV602B: (BUS, ID17)","PSPGOV602B: Establish and Maintain Strategic Networks (Bus, ID17)","PSPGOV602B: Establish and Maintain Strategic Networks (BUS, ID17)"
"PSPPROC607A: (BUS, ID17)","PSPPROC607A: Manage Strategic Contracts (Bus, ID17)","PSPPROC607A: Manage Strategic Contracts (BUS, ID17)"
PUATEA001B | VU21354 | VU21370: (2017),"PUATEA001B | VU21354 | VU21370: Team Research Project - Module 3 (LSU, 2017)",PUATEA001B | VU21354 | VU21370: Team Research Project - Module 3 (2017)
"SCDRONESAG: (NCDEA, &6529 2017)","SCDRONESAG: Drones for Dairy (Dairy, #6529 2017)","SCDRONESAG: Drones for Dairy  (NCDEA, &6529 2017)"
SHB30416: (#6280 2017),"SHB30416: Certificate III in Hairdressing Course Home (Hair, #6280 2017)",SHB30416: Certificate III in Hairdressing Course Home (#6280 2017)
"SHBHCCS001: (Not delivered, ID17)","SHBHCCS001: Plan hair services for special events (Hair, ID17)","SHBHCCS001: Plan hair services for special events (Not delivered, ID17)"
"SIRRINV001: (Not delivered, ID17)","SIRRINV001: Receive and handle retail stock (Hair, ID17)","SIRRINV001: Receive and handle retail stock (Not delivered, ID17)"
SIS40313 | SIS50310: (#6474 2017),"SIS40313 and SIS50310 First Year Outdoor Recreation Course Home (Rec, #6474 2017)",SIS40313 and SIS50310 First Year Outdoor Recreation Course Home (#6474 2017)
SIT30116 | SIT30516 | SIT30616: (#6456 ID17),"SIT30116 | SIT30516 | SIT30616: Cert III in Tourism, Events & Hospitality Course Home (Tourism-Hosp, #6456 ID17)","SIT30116 | SIT30516 | SIT30616: Cert III in Tourism, Events & Hospitality Course Home (#6456 ID17)"
SIT50116 | SIT50316 | SIT50416: (#6457 ID17),"SIT50116 | SIT50316 | SIT50416: Diploma of Tourism, Events & Hospitality Course Home (Tourism-Hosp, #6457 ID17)","SIT50116 | SIT50316 | SIT50416: Diploma of Tourism, Events & Hospitality Course Home (#6457 ID17)"
"TAE40110: (EDS, #6526 2017)","TAE40110: Certificate IV in Training and Assessment Course Home (TrainAssess, #6526 2017)","TAE40110: Certificate IV in Training and Assessment Course Home (EDS, #6526 2017)"
"TAEASS401: (EDS, ID17)","TAEASS401: Plan assessment activities and process (TrainAssess, ID17)","TAEASS401: Plan assessment activities and process (EDS, ID17)"
"TAEASS403: (EDS, ID17)","TAEASS403: Participate in assessment validation (TrainAssess, ID17)","TAEASS403: Participate in assessment validation (EDS, ID17)"
"TAEDEL501A: (EDS, ID17)","TAEDEL501A: Facilitate eLearning (TrainAssess, ID17)","TAEDEL501A: Facilitate eLearning (EDS, ID17)"
"TAEDES402: (EDS, 2017)","TAEDES402: Use training packages and accredited courses to meet client needs (TrainAssess, 2017)","TAEDES402: Use training packages and accredited courses to meet client needs (EDS, 2017)"
"TAEPDD501A | TAEDEL502A | TAEASS501A: (EDS, ID17)","TAEPDD501A | TAEDEL502A | TAEASS501A: Teacher Practicum (TrainAssess, ID17)","TAEPDD501A | TAEDEL502A | TAEASS501A: Teacher Practicum (EDS, ID17)"
"UEE22011: (Electrical, #6530 2017)","UEE22011: Certificate II in Electroctechnology Course Home (Elec, #6530 2017)","UEE22011: Certificate II in Electroctechnology Course Home (Electrical, #6530 2017)"
"UEE30811: (Electrical, #6414 2017)","UEE30811: Certificate III in Electrotechnology Electrician Course Home (Elec, #6414 2017)","UEE30811: Certificate III in Electrotechnology Electrician Course Home (Electrical, #6414 2017)"
"UEENEED101A: (Electrical, ID17)","UEENEED101A: Use computer applications relevant to a workplace (Elec, ID17)","UEENEED101A: Use computer applications relevant to a workplace (Electrical, ID17)"
"UEENEEF102A: (Electrical, ID17)","UEENEEF102A: Lay and connect cables for multiple access to telecommunication services (Elec, ID17)","UEENEEF102A: Lay and connect cables for multiple access to telecommunication services (Electrical, ID17)"
"VU20955: (BuildConst, ID17)","VU20955: Workplace safety and site induction (Build, ID17)","VU20955: Workplace safety and site induction (BuildConst, ID17)"
"VU20957: (BuildConst, ID17)","VU20957: Calculations for the construction industry (Build, ID17)","VU20957: Calculations for the construction industry (BuildConst, ID17)"
"VU20958: (BuildConst, ID17)","VU20958: Prepare for work in the construction industry (Build, ID17)","VU20958: Prepare for work in the construction industry (BuildConst, ID17)"
"VU20961: (BuildConst, ID17)","VU20961: Levelling (Build, ID17)","VU20961: Levelling (BuildConst, ID17)"
"VU20962: (BuildConst, ID17)","VU20962: Quality principals for the construction industry (Build, ID17)","VU20962: Quality principals for the construction industry (BuildConst, ID17)"
"VU20963: (BuildConst, ID17)","VU20963: Safe handling and use of plant and selected portable power tools (Build, ID17)","VU20963: Safe handling and use of plant and selected portable power tools (BuildConst, ID17)"
"VU20971: (BuildConst, ID17)","VU20971: Carpentry hand tools (Build, ID17)","VU20971: Carpentry hand tools (BuildConst, ID17)"
"VU20972: (BuildConst, ID17)","VU20972: Carpentry power tools (Build, ID17)","VU20972: Carpentry power tools (BuildConst, ID17)"
"VU20973: (BuildConst, ID17)","VU20973: Basic setting out (Build, ID17)","VU20973: Basic setting out (BuildConst, ID17)"
"VU20974: (BuildConst, ID17)","VU20974: Sub-floor framing (Build, ID17)","VU20974: Sub-floor framing (BuildConst, ID17)"
"VU20975: (BuildConst, ID17)","VU20975: Wall framing (Build, ID17)","VU20975: Wall framing (BuildConst, ID17)"
"VU20977: (BuildConst, ID17)","VU20977: External cladding (Build, ID17)","VU20977: External cladding (BuildConst, ID17)"
"VU21789: (Plumbing, ID17)","VU21789: Apply Basic Sheet Metal Practices (Plumb, ID17)","VU21789: Apply Basic Sheet Metal Practices (Plumbing, ID17)"
"VU21790: (Plumbing, ID17)","VU21790: Cut and penetrate building materials and structures (Plumb, ID17)","VU21790: Cut and penetrate building materials and structures (Plumbing, ID17)"
"VU21792: (Plumbing, ID17)","VU21792: Identify career pathways in the plumbing industry (Plumb, ID17)","VU21792: Identify career pathways in the plumbing industry (Plumbing, ID17)"
"VU21794: (Plumbing, ID17)","VU21794: Prepare to work in the plumbing industry (Plumb, ID17)","VU21794: Prepare to work in the plumbing industry (Plumbing, ID17)"
"VU21795: (Plumbing, ID17)","VU21795: Use and apply basic levelling equipment for plumbing (Plumb, ID17)","VU21795: Use and apply basic levelling equipment for plumbing (Plumbing, ID17)"
"VU21797: (Plumbing, ID17)","VU21797: Use basic plumbing hand tools (Plumb, ID17)","VU21797: Use basic plumbing hand tools (Plumbing, ID17)"
"VU21798: (Plumbing, ID17)","VU21798: Use basic power tools (Plumb, ID17)","VU21798: Use basic power tools (Plumbing, ID17)"
"VU21799: (Plumbing, ID17)","VU21799: Use plumbing pipes, fittings and fixtures to simulate plumbing installations (Plumb, ID17)","VU21799: Use plumbing pipes, fittings and fixtures to simulate plumbing installations (Plumbing, ID17)"